品名	最低价	最高价	均价	单位	日期
荸荠	2.0	3.0	2.5	斤	2022-04-13 00:00:00
芋头	2.0	2.6	2.3	斤	2022-04-13 00:00:00
姜	1.0	2.5	1.75	斤	2022-04-13 00:00:00
大蒜	2.5	3.5	3.0	斤	2022-04-13 00:00:00
大蒜	3.0	3.8	3.4	斤	2022-04-13 00:00:00
蒜米	2.6	3.6	3.1	斤	2022-04-13 00:00:00
大葱	2.0	2.6	2.3	斤	2022-04-13 00:00:00
小葱	1.5	2.0	1.75	斤	2022-04-13 00:00:00
蒜苗	1.7	3.0	2.35	斤	2022-04-13 00:00:00
蒜黄	3.0	4.0	3.5	斤	2022-04-13 00:00:00
青蒜	1.6	1.8	1.7	斤	2022-04-13 00:00:00
平菇	2.0	3.0	2.5	斤	2022-04-13 00:00:00
香菇	3.5	5.5	4.5	斤	2022-04-13 00:00:00
白玉菇	3.0	4.0	3.5	斤	2022-04-13 00:00:00
口蘑	7.0	7.5	7.25	斤	2022-04-13 00:00:00
杏鲍菇	3.0	3.5	3.25	斤	2022-04-13 00:00:00
金针菇	3.0	3.5	3.25	斤	2022-04-13 00:00:00
油菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
小白菜	2.0	2.5	2.25	斤	2022-04-13 00:00:00
油麦菜	1.5	2.0	1.75	斤	2022-04-13 00:00:00
品名	最低价	最高价	均价	单位	日期
整牛	33.0	33.5	33.25	斤	2022-04-13 00:00:00
牛前腱	37.0	38.0	37.5	斤	2022-04-13 00:00:00
牛后腱	37.0	38.0	37.5	斤	2022-04-13 00:00:00
牛前腿	34.0	35.0	34.5	斤	2022-04-13 00:00:00
牛后腿	34.0	35.0	34.5	斤	2022-04-13 00:00:00
牛腰窝	34.0	35.0	34.5	斤	2022-04-13 00:00:00
牛柳	37.0	37.0	37.0	斤	2022-04-13 00:00:00
精牛柳	38.0	40.0	39.0	斤	2022-04-13 00:00:00
牛腩	35.0	35.0	35.0	斤	2022-04-13 00:00:00
牛林	35.0	35.0	35.0	斤	2022-04-13 00:00:00
牛油	6.0	6.0	6.0	斤	2022-04-13 00:00:00
牛金钱腱	50.0	50.0	50.0	斤	2022-04-13 00:00:00
牛筋头巴脑	30.0	32.0	31.0	斤	2022-04-13 00:00:00
牛骨	5.0	5.0	5.0	斤	2022-04-13 00:00:00
牛排骨	32.0	32.0	32.0	斤	2022-04-13 00:00:00
牛板筋	35.0	35.0	35.0	斤	2022-04-13 00:00:00
牛尾	32.0	33.0	32.5	斤	2022-04-13 00:00:00
